gene,FAD_mean,FAD_KO_mean,log2_fold_change,p_value,neg_log10_p
Fgfbp3,2.4339617235933937,1.9420042937106536,-0.49195742988274005,0.02022839666907934,1.6940385386511596
Foxp4,1.7720004801390212,2.0868994108240018,0.31489893068498054,0.02025433873949942,1.6934819310276348
Atp1b1,10.138826757773929,10.280227755575734,0.1414009978018047,0.020315438574952965,1.6921737975745377
Atp5d,4.913575580969397,5.164507297527783,0.2509317165583864,0.020510211975915797,1.6880298511140912
Coq2,3.883094644208715,4.12045855582987,0.23736391162115522,0.020583705829709153,1.6864764334362137
Tmtc3,1.8325100977118354,2.224383482726999,0.39187338501516344,0.020659387130270154,1.684882566160528
Atp5f1,6.420524078194195,6.637211038389815,0.21668696019562006,0.020737248603670454,1.6832488658597098
Dyrk1a,5.354377136396352,5.5897483879180845,0.2353712515217321,0.020797914273786154,1.6819802162297444
Nom1,4.632618598186611,4.857619871228994,0.22500127304238315,0.02081490193841139,1.6816256307876356
Lcp1,1.975842077228622,2.371894829045964,0.396052751817342,0.020961689422423706,1.6785737180018314
Rfk,6.020767084021485,6.249379475801724,0.2286123917802385,0.021029167065818945,1.677177928734625
Polr3a,2.3714294544549688,2.6641396415319023,0.2927101870769335,0.02106797954116196,1.6763771120520155
Trpc4ap,3.7436930579521985,4.096931143289358,0.3532380853371593,0.02119748631694461,1.6737156364016954
Omg,4.713588811397945,5.027838877976456,0.31425006657851107,0.02136483196510421,1.6703005185694615
B630019K06Rik,4.224443516326448,4.561828698830191,0.33738518250374305,0.021419947867958634,1.6691815904922793
Inafm1,4.00197813109324,4.152225107862885,0.1502469767696457,0.021490335833417168,1.6677567976560537
Cyth2,3.427231376624609,3.7281937432598746,0.30096236663526543,0.021495081949503003,1.667660894806146
Drg1,3.4950842914836926,3.262048678875635,-0.23303561260805772,0.02150671443803189,1.6674259313336157
Tcf4,8.658276467089921,8.504387037708812,-0.15388942938110972,0.021576020173332055,1.6660286604946026
Nsa2,5.3662090335586115,5.304330272504952,-0.061878761053659304,0.021646574321060322,1.6646108231524765
Rps19,4.89823655151066,5.138023842141951,0.23978729063129123,0.021709236485724363,1.6633554504224897
Rabggtb,5.1242739293701804,5.3416305577909595,0.21735662842077907,0.021936046713462498,1.6588416377105895
Sord,3.207409474221169,3.626407224093626,0.41899774987245664,0.02195162340824556,1.658533356461853
Set,6.185499897605854,6.412246770875534,0.22674687326968002,0.02206346185127689,1.6563263438926241
Lemd3,5.1285426685384365,5.343468447703706,0.21492577916526923,0.02217984786312508,1.65404143710624
Rps3a1,3.7399615344606247,3.977771211622345,0.2378096771617204,0.022429865060708855,1.649173339148455
